AMOUNT,CLIENT_EXEC_SPONSOR_INVOLVED__C,CLOSEDATE,COMPELLING_EVENT__C,COMPETITIVE_STATUS__C,CURRENT_SYSTEM__C,DECISION_MAKER_TITLE__C,EXECUTIVES__C,EXTERNAL_ID__C,FUNCTIONAL_FIT__C,MAIN_COMPETITOR__C,MAIN_PRODUCT_FAMILY__C,NAME,NUMBER_OF_DEMOS__C,NUMBER_OF_EMAILS__C,NUMBER_OF_POCS__C,NUMBER_OF_TECH_EXPERTS_INVOLVED__C,OPPORTUNITY_DISCOUNT__C,PARTNER_INVOLVED__C,PRE_SALES_ASSESSMENT_SCORE__C,STAGENAME,ACCOUNT.EXTERNAL_ID__C,TECHNICAL_FIT__C,TYPE
3140.18,FALSE,2020-03-30,Merger & Acquisition,Vendor of Choice,Google,Service Manager,FALSE,61dbf334-99ae-4221-98ce-b8df8cf4897c,,Google,Community,Community for Legal(34),10,31,12,15,28.1,TRUE,3,Closed Lost,9a0682ef-7545-4dde-88c0-55bdd12aa727,,New Customer
1735.14,FALSE,2018-09-18,Improve Customer Experience,Ahead of Competition,Oracle,CIO,FALSE,cd9d61a9-a754-4c6d-a563-9c6a4ae19e46,,Google,Community,Community for Marketing(49),8,9,2,10,23.67,FALSE,2,Closed Lost,9348b5d9-f470-476e-83b9-8cded19986ad,,New Customer
3132.6,FALSE,2020-03-26,Merger & Acquisition,Even,Google,Sales Manager,FALSE,b528820e-2741-4b1e-8b96-7daf0ae2a601,,Apple,Marketing,Marketing for Services(45),8,35,14,4,83.8,FALSE,1,Closed Lost,830a3e4e-482d-4e1c-ae6a-a2cfa0de0051,,New Customer
933.24,FALSE,2019-12-21,Improve Customer Experience,Vendor of Choice,Homegrown,Marketing Manager,FALSE,2e3e89c2-6591-4cee-9dec-cbcdaa6219a3,,Google,Marketing,Marketing for Engineering(73),10,8,3,4,45.95,FALSE,2,Closed Lost,eeee3fd9-4c2d-4a37-82ee-8c475dd13ab5,,New Customer
3228.8,TRUE,2019-12-11,Improve Customer Experience,Behind Competition,Amazon,Service Manager,TRUE,5bd9bb03-c279-4cc0-9fab-c6b4b0b19d8c,,Google,Service,Service for Business Development(65),9,32,0,11,35.79,FALSE,5,Closed Lost,326dcdfc-1629-434a-a115-b1419c62be42,,New Customer
7061.46,FALSE,2019-04-27,Reorganization,Ahead of Competition,Google,CIO,FALSE,c4c89649-ae5d-4cd0-a778-e0b83d0fae1a,,Google,Service,Service for Legal(56),1,11,14,13,80.57,FALSE,2,Closed Lost,80930c00-9e5d-4694-b249-0075b357161f,,New Customer
6959.76,FALSE,2019-02-15,Cost Saving,Vendor of Choice,Google,Sales Manager,FALSE,255bffd2-08db-476a-a421-cc49ebe8e26a,,Google,E-Commerce,E-Commerce for Accounting(2),1,8,10,1,9.39,TRUE,4,Closed Lost,c68d7c6e-7022-4705-8ac1-9ba2a628c0df,,New Customer
5552.25,FALSE,2019-04-23,Improve Customer Experience,Ahead of Competition,Amazon,CIO,TRUE,19b81fad-6cf7-4299-9ddb-2a011c262303,,Google,E-Commerce,E-Commerce for Sales(51),9,15,4,5,63.76,FALSE,5,Closed Lost,8d3e92fc-ca8e-434a-8972-57792dbd9b6a,,New Customer
6653.2,FALSE,2019-02-24,Improve Customer Experience,Ahead of Competition,Oracle,Service Manager,FALSE,bff8318a-df7c-4982-89ed-eb070c369cb9,,Google,E-Commerce,E-Commerce for Sales(1),4,15,6,11,43.17,TRUE,4,Closed Lost,65b90e92-3a3e-42fc-a727-fd8b7ceede8c,,New Customer
8947.3,FALSE,2019-12-08,Improve Customer Experience,Vendor of Choice,Oracle,Service Manager,FALSE,0aeb51df-4fef-4715-976b-305e4a106c84,,Microsoft,Service,Service for Engineering(95),7,28,13,15,50.29,FALSE,2,Closed Lost,a963aa4a-d3da-46ba-aabf-5eea6ba70a4b,,New Customer
